Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,,
Data,0,file_id,type,"5",,manufacturer,"1",,garmin_product,"65534",,serial_number,"1797279886",,time_created,"1127373303",,
Definition,0,workout,wkt_name,20,,sport,1,,sub_sport,1,,num_valid_steps,1,,wkt_description,73,,
Data,0,workout,wkt_name,"Generic run workout",,sport,"1",,num_valid_steps,"13",,wkt_description,"These are RHS notes. Likely overall workout notes. Length limited to 512",,,,,
Definition,0,memo_glob,part_index,1,,mesg_num,1,,parent_index,1,,field_num,1,,data,72,,
Data,0,memo_glob,part_index,"0",,mesg_num,"26",,parent_index,"0",,field_num,"17",,data,"84|104|101|115|101|32|97|114|101|32|82|72|83|32|110|111|116|101|115|46|32|76|105|107|101|108|121|32|111|118|101|114|97|108|108|32|119|111|114|107|111|117|116|32|110|111|116|101|115|46|32|76|101|110|103|116|104|32|108|105|109|105|116|101|100|32|116|111|32|53|49|50",,
Definition,0,workout_step,message_index,1,,wkt_step_name,7,,intensity,1,,duration_type,1,,duration_value,1,,target_type,1,,target_value,1,,custom_target_value_low,1,,custom_target_value_high,1,,
Data,0,workout_step,message_index,"0",,wkt_step_name,"Warmup",,intensity,"2",,duration_type,"5",,duration_value,"0",,target_type,"0",,target_speed_zone,"0",,,,,,,,
Definition,0,workout_step,message_index,1,,wkt_step_name,12,,intensity,1,,duration_type,1,,duration_value,1,,target_type,1,,target_value,1,,custom_target_value_low,1,,custom_target_value_high,1,,
Data,0,workout_step,message_index,"1",,wkt_step_name,"Active open",,intensity,"0",,duration_type,"5",,duration_value,"0",,target_type,"0",,target_speed_zone,"0",,,,,,,,
Definition,0,workout_step,message_index,1,,wkt_step_name,10,,intensity,1,,duration_type,1,,duration_value,1,,target_type,1,,target_value,1,,custom_target_value_low,1,,custom_target_value_high,1,,notes,51,,
Data,0,workout_step,message_index,"2",,wkt_step_name,"Note step",,intensity,"3",,duration_type,"5",,duration_value,"0",,target_type,"0",,target_speed_zone,"0",,notes,"This is a step note and is limited to 200 chara...",,,,,,,,
Data,0,workout_step,message_index,"3",,wkt_step_name,"Rest open",,intensity,"1",,duration_type,"5",,duration_value,"0",,target_type,"0",,target_speed_zone,"0",,,,,,,,,,,
Definition,0,workout_step,message_index,1,,wkt_step_name,14,,intensity,1,,duration_type,1,,duration_value,1,,target_type,1,,target_value,1,,custom_target_value_low,1,,custom_target_value_high,1,,,,,
Data,0,workout_step,message_index,"4",,wkt_step_name,"Cooldown open",,intensity,"3",,duration_type,"5",,duration_value,"0",,target_type,"0",,target_speed_zone,"0",,,,,,,,,,,
Data,0,workout_step,message_index,"5",,wkt_step_name,"1s Time",,intensity,"0",,duration_type,"0",,duration_time,"1.0",,target_type,"0",,target_speed_zone,"0",,,,,,,,,,,
Data,0,workout_step,message_index,"6",,wkt_step_name,"1k dist",,intensity,"0",,duration_type,"0",,duration_time,"60000.0",,target_type,"0",,target_speed_zone,"0",,,,,,,,,,,
Data,0,workout_step,message_index,"7",,wkt_step_name,"100 cal",,intensity,"0",,duration_type,"4",,duration_calories,"100",,target_type,"0",,target_speed_zone,"0",,,,,,,,,,,
Data,0,workout_step,message_index,"8",,wkt_step_name,"HR >250",,intensity,"0",,duration_type,"3",,duration_hr,"250",,target_type,"0",,target_speed_zone,"0",,,,,,,,,,,
Data,0,workout_step,message_index,"9",,wkt_step_name,"Pace range",,intensity,"0",,duration_type,"5",,duration_value,"0",,target_type,"0",,target_speed_zone,"0",,custom_target_speed_low,"3.03",,custom_target_speed_high,"3.03",,,,,
Data,0,workout_step,message_index,"10",,wkt_step_name,"HR zone 3",,intensity,"0",,duration_type,"0",,duration_time,"60000.0",,target_type,"1",,target_hr_zone,"3",,custom_target_heart_rate_low,"0",,custom_target_heart_rate_high,"0",,,,,
Data,0,workout_step,message_index,"11",,wkt_step_name,"HR 120-130",,intensity,"0",,duration_type,"0",,duration_time,"60000.0",,target_type,"1",,target_hr_zone,"0",,custom_target_heart_rate_low,"220",,custom_target_heart_rate_high,"230",,,,,
Data,0,workout_step,message_index,"12",,wkt_step_name,"Cad 87-92",,intensity,"0",,duration_type,"0",,duration_time,"60000.0",,target_type,"3",,target_cadence_zone,"0",,custom_target_cadence_low,"87",,custom_target_cadence_high,"92",,,,,
Definition,0,memo_glob,part_index,1,,mesg_num,1,,parent_index,1,,field_num,1,,data,52,,,,,,,,,,,,,,,,,
Data,0,memo_glob,part_index,"0",,mesg_num,"27",,parent_index,"2",,field_num,"8",,data,"84|104|105|115|32|105|115|32|97|32|115|116|101|112|32|110|111|116|101|32|97|110|100|32|105|115|32|108|105|109|105|116|101|100|32|116|111|32|50|48|48|32|99|104|97|114|97|99|116|101|114|115",,,,,,,,,,,,,,,,,
